mesotopo;soil_moist;soil_temp;soil_ph;veg_height;vasc_spr;Empher_cover;Betnan;Cashyp;Empher;Salret
2;29;7.459780827;4.9675;2;25;0.25;0;0;1;0
5;21.1;7.143924551;4.615;7;16;6;0;0;1;0
9;19.7;6.830634929;4.9275;5;5;55;1;0;1;0
7;18.4;6.220193056;4.58;6;4;4;1;0;1;0
2;9.7;7.954004446;4.905;4;8;2;0;0;1;0
4;15.1;7.221598932;4.66125;7;5;20;1;0;1;0
6;16.7;7.175462924;4.7675;6;3;40;1;0;1;0
7;8.9;7.230247549;4.8375;8;5;2;1;0;1;0
7;7.9;8.983905482;4.45;6;5;10;1;0;1;0
6;13.1;8.936361305;4.56;4;9;7;1;0;1;0
6;12.7;8.55103665;4.52;3;14;0.25;1;0;1;0
7;8.4;7.415765355;4.745;6;5;1;1;0;1;0
9;10;7.669784379;4.8725;2;3;20;0;0;1;0
9;12.3;9.024530963;4.875;2;4;30;1;0;1;0
8;9.3;9.278021941;4.8475;3;5;20;1;0;1;0
8;13.6;8.23034896;4.79;3;7;55;1;0;1;0
6;9.8;7.945113923;4.77;5;14;2;1;0;1;0
7;10.8;7.509950324;4.8225;6;5;3;1;0;1;0
8;16.9;7.764126287;4.4875;3;6;15;1;0;1;0
4;20.8;7.218791422;4.4825;6;6;60;1;0;1;0
3;14;8.772120213;4.7375;4;10;10;1;0;1;0
3;28.8;8.624323198;4.61;5;10;3;1;0;1;0
4;19.3;8.334636904;4.13;5;8;2;1;0;1;0
4;17.2;9.101519903;4.445;5;8;1;1;0;1;0
5;11.6;7.85987987;4.5275;4;8;3;1;0;1;0
5;17.1;8.616044968;3.9875;3;6;6;1;0;1;0
6;19.5;8.173183588;4.0275;5;5;0;1;0;0;0
7;17.1;9.834208845;4.525;5;6;0.25;1;0;1;0
4;15.9;7.231613755;4.59;4;5;6;1;0;1;0
4;17.9;7.998525397;3.97875;5;6;2;1;0;1;0
5;14.4;8.553985117;4.19875;6;8;1;1;0;1;0
5;15.3;7.110270136;4.52;6;7;5;1;0;1;0
6;15.7;8.170364966;4.34;4;9;0.5;1;0;1;0
6;16.6;6.528730523;4.51;5;9;1;1;0;1;0
4;14.3;7.82557456;4.34;5;3;5;1;0;1;0
4;15.1;7.192545157;4.235;5;4;3;1;0;1;0
4;16.6;8.451043217;4.365;5;7;0.5;1;0;1;0
5;18.2;7.807389337;4.2775;5;6;3;1;0;1;0
6;20;6.764743186;4.1325;4;6;5;1;0;1;0
7;11.5;6.923275792;4.38;3;8;2;1;0;1;0
4;13;5.756916389;4.562578125;5;11;25;0;0;1;0
4;23.6;6.213228735;4.926796875;6;8;45;1;0;1;0
2;14.4;5.153448116;5.7553125;15;13;25;1;0;1;0
3;21.2;5.69357446;5.64078125;9;14;55;1;0;1;0
3;27.5;5.233767226;5.85484375;4;17;30;0;0;1;0
5;21.8;4.974185872;5.885625;4;16;20;0;0;1;0
7;12.3;6.252952048;5.241796875;4;9;25;1;0;1;0
8;9.7;6.605269094;5.098828125;3;8;30;1;0;1;0
8;13.4;7.345466857;5.350078125;5;9;22;1;0;1;0
6;21.8;5.885592844;4.881875;3;10;30;0;0;1;0
5;22.3;5.025806514;5.76859375;4;16;50;0;0;1;1
5;27;4.666267326;6.003515625;6;14;5;0;0;1;1
5;18.2;6.245018631;4.746328125;5;11;60;1;0;1;0
3;16.6;5.501287708;4.848046875;9;7;45;1;0;1;0
6;13.9;6.141475725;4.848046875;4;8;23;0;0;1;0
9;18;6.281602597;5.073125;3;11;13;0;0;1;0
7;24.6;5.721827782;5.15265625;3;14;45;1;0;1;0
6;23.4;5.158356008;5.687109375;4;16;30;0;0;1;0
3;24.6;5.531821577;5.02109375;20;16;0.25;0;0;1;0
3;24.7;5.393811256;4.69765625;13;17;15;1;0;1;0
3;38.2;6.342437344;5.0025;4;26;2;1;0;1;0
3;24.2;5.191729532;6.11140625;17;16;8;1;0;1;0
5;21.3;5.64183845;6.23953125;14;13;4;1;0;1;0
6;27.4;5.992914729;6.41890625;6;16;30;1;0;1;0
3;25.7;5.8283562;5.47390625;23;14;0.25;0;0;1;0
3;30.8;5.78692833;5.16734375;8;19;1;0;0;1;0
3;32.9;6.235634529;6.11703125;3;30;0.5;0;0;1;0
4;21.5;5.385026911;6.57828125;21;18;2;1;0;1;1
4;30.6;4.835256108;6.0375;10;23;2;1;0;1;0
5;19.1;5.786472749;6.3475;8;13;2;1;0;1;0
2;28.8;6.421431026;6.30734375;3;40;0;0;0;0;1
2;26.1;6.683490416;6.14140625;5;31;0;0;0;0;0
2;47.3;5.932237673;6.55671875;2;37;0;0;0;0;1
3;26.1;6.081681157;6.59046875;2;28;0;0;0;0;1
4;31.1;6.031971497;6.525;10;14;0;1;0;0;0
6;19.7;7.080051001;6.0175;7;14;6;1;0;1;0
3;25.7;7.523118145;5.7765625;13;33;0;1;0;0;0
4;32.6;6.997255877;5.7784375;9;27;3;0;0;1;0
6;24.2;6.56112994;5.826875;7;17;30;0;0;1;0
6;24.1;6.723862595;5.64015625;3;13;15;0;0;1;0
4;26.5;6.685589546;5.70875;4;12;15;0;0;1;0
5;25.9;6.246446497;5.7159375;6;14;65;1;0;1;0
1;31.3;7.020781626;5.07703125;15;26;0;1;0;0;0
2;30.3;5.992509912;5.29171875;12;25;0;0;0;0;0
3;21;6.356223947;5.47953125;22;11;4;1;0;1;0
4;22.8;6.818814667;5.50890625;5;12;20;0;0;1;0
6;28;6.480417777;5.04953125;3;9;50;0;0;1;0
6;21.8;5.841168982;4.7103125;6;12;55;1;0;1;0
3;16.9;7.3160999;4.59421875;12;12;20;1;0;1;0
5;20;6.990128516;4.74703125;7;11;40;0;0;1;0
5;20.2;6.653763441;4.99671875;7;11;8;1;0;1;0
6;23.3;6.416284099;4.81984375;5;9;35;0;0;1;0
4;19.3;6.677826193;4.66421875;6;8;20;1;0;1;0
7;13.6;6.735878735;4.8846875;3;8;3;0;0;1;0
5;24.8;8.537240827;5.54734375;7;14;65;1;0;1;0
5;22.1;8.201721946;5.65140625;7;13;75;1;0;1;1
5;21.5;7.949600531;5.7540625;2;18;35;1;0;1;0
4;23.3;6.895421992;5.8625;4;13;70;0;0;1;0
4;23.3;6.540000925;5.63453125;6;13;65;1;0;1;0
2;22.4;6.08415193;5.761875;8;13;30;1;0;1;0
4;11.5;7.333763332;5.6859375;7;15;20;1;0;1;0
4;20.3;7.79443285;5.8190625;8;15;20;1;0;1;0
4;20.2;7.041967687;5.618125;6;12;65;1;0;1;0
4;20.8;6.58756177;5.8596875;7;11;25;1;0;1;0
4;23.1;6.732029697;5.09921875;6;14;32;1;0;1;0
4;21.5;5.176186068;4.5803125;9;9;12;1;0;1;0
4;19.2;7.226756668;6.0515625;5;18;15;1;0;1;1
5;24.6;5.890767067;6.0834375;4;17;15;1;0;1;0
5;23.9;7.138136264;5.944375;5;14;20;1;0;1;0
4;23.3;7.383622892;6.1578125;6;13;40;1;0;1;0
2;21;7.428041551;5.94953125;6;15;4;1;0;1;0
2;18;8.668230472;5.9696875;9;19;5;1;0;1;0
6;11.5;5.868875649;5.05484375;7;8;18;0;0;1;0
6;18.6;6.77470936;5.22640625;9;9;60;1;0;1;0
6;15.7;7.452101556;4.72453125;6;6;60;1;0;1;0
5;12.9;8.393203989;4.6159375;5;10;12;1;0;1;0
5;43.6;5.443085041;5.77171875;4;17;10;1;0;1;0
6;25.5;4.120983996;6.0075;9;19;8;1;0;1;0
8;16.9;9.257577677;5.29828125;3;10;7;0;0;1;0
8;6.4;12.75855504;5.34046875;2;11;11;0;0;1;0
9;7.8;9.939895957;4.7109375;3;10;12;0;0;1;0
6;10.7;7.431576759;4.624375;8;9;20;1;0;1;0
5;7.6;8.807883756;4.8546875;9;5;25;1;0;1;0
6;23.3;7.003418819;4.620625;7;8;33;1;0;1;0
6;12.5;7.940736496;4.87546875;4;6;6;0;0;1;0
7;12.8;7.64786761;4.49578125;6;10;20;0;0;1;0
7;12.7;9.530043008;4.4915625;6;12;15;1;0;1;0
6;13.2;10.52269988;4.635625;3;12;10;1;0;1;0
4;7.3;9.258019678;4.9503125;3;5;6;1;0;1;0
6;10.5;7.185524618;4.909375;5;9;20;1;0;1;0
4;39.2;5.620580289;5.5784375;4;26;6;0;0;1;0
3;21.8;5.47402673;5.7340625;6;13;0;0;0;0;0
5;28.7;4.062630041;5.89890625;4;24;0;0;0;0;0
5;15.4;6.126056715;5.60703125;2;22;0;0;0;0;0
4;13;9.866148362;5.610625;2;17;0;0;0;0;0
4;17.9;5.477681143;5.096875;10;19;0.25;0;0;1;0
7;16.4;4.348805318;5.198671875;6;11;5;0;0;1;0
7;12;4.541432498;5.475703125;5;21;0.5;0;0;1;0
7;8.4;10.03836426;5.233125;6;15;0;0;0;0;0
5;13;7.138125396;4.9753125;6;21;2;0;0;1;0
8;14.7;7.043099334;5.038984375;4;13;0;0;0;0;0
8;12.6;4.955669508;4.916875;5;16;0;0;0;0;0
5;11;5.65006166;5.51;6;9;0;0;0;0;0
7;16.4;7.025139053;5.119921875;5;12;0;0;0;0;0
7;7.6;5.622209456;4.696875;5;13;0.25;0;0;1;0
8;16.1;10.2222999;4.8796875;6;12;0;1;0;0;0
7;5.6;7.891543301;5.100390625;4;7;0;0;0;0;0
8;14.6;4.83380158;4.545625;9;8;0;0;0;0;0
