pvm;station;prec;x;y;lake;sea;elev
20100701;5607;66.1;530310;7226523;24;0;135
20100701;5707;71.3;567682;7235939;5;0;251
20100701;5711;57.7;582573;7201935;7;0;223
20100701;5715;69.2;549139;7171630;0;0;282
20100701;5716;61.9;550456;7171435;0;0;341
20100701;5804;72.4;601777;7165169;1;0;220
20100701;5806;98;593949;7239572;1;0;289
20100701;6311;40.2;370776;7330614;7;0;63
20100701;6312;39.4;370984;7305766;11;18;8
20100701;6514;98.2;471270;7317473;0;0;161
20100701;6604;111.8;515234;7296533;7;0;162
20100701;6703;85.3;553190;7318047;46;0;262
20100701;6704;59.9;571570;7291212;20;0;248
20100701;6707;75.3;557416;7273037;12;0;203
20100701;6802;65.8;603447;7362754;6;0;160
20100701;6806;46.3;596821;7316348;1;0;270
20100701;6813;47.7;616530;7268757;29;0;225
20100701;7301;69.6;395545;7380877;9;0;92
20100701;7302;96.3;385047;7416102;25;0;135
20100701;7306;79.7;371811;7477312;1;0;171
20100701;7307;74.8;366390;7409306;4;0;84
20100701;7311;128.8;412278;7462080;1;0;192
20100701;7401;77.1;448131;7382689;0;0;195
20100701;7501;132.1;484068;7472300;9;0;179
20100701;7502;78.7;456131;7384837;23;0;106
20100701;7504;139.9;485906;7389637;8;0;170
20100701;7604;82.9;522143;7442647;10;0;155
20100701;7607;73.4;507072;7399694;1;0;208
20100701;7702;113.1;550676;7463743;7;0;180
20100701;7705;64;556764;7411064;0;0;260
20100701;7706;72;586334;7426712;0;0;197
20100701;7707;82.2;542413;7483960;19;0;220
20100701;7709;69.6;573491;7413849;9;0;215
20100701;7804;72.3;594295;7451211;2;0;213
20100701;8102;127.3;315494;7599837;4;0;320
20100701;8201;99.2;360902;7543137;17;0;254
20100701;8206;67;359793;7589788;21;0;290
20100701;8312;98.9;384579;7544505;0;0;347
20100701;8315;88.5;410976;7505585;7;0;181
20100701;8404;118.8;449471;7562301;1;0;275
20100701;8601;113.1;531440;7523154;39;0;240
20100701;8602;114.7;507730;7552285;9;0;247
20100701;8606;124.1;516966;7589198;0;0;302
20100701;8701;73.2;572488;7505533;2;0;209
20100701;8702;125.6;554066;7596100;4;0;185
20100701;8803;91.9;610315;7517108;0;0;370
20100701;9003;97.8;252581;7672367;45;0;480
20100701;9201;101;360645;7613973;21;0;370
20100701;9403;100.8;446272;7644913;6;0;203
20100701;9405;110.1;449245;7644063;7;0;285
20100701;9603;141.6;500288;7738706;14;0;107
20100701;9604;127.1;534083;7775269;6;0;22
20100701;9608;143.5;502854;7728372;8;0;110
20100701;9615;142.8;500563;7643867;16;0;128
20100701;9616;134.6;510557;7670095;13;0;156
20100701;9705;120.7;552332;7638136;24;0;123
20100701;9708;124.7;573855;7720352;36;0;103
